timestamp,sensor_id,roll,pitch,yaw
2025-07-14T18:52:32.752217,4,0.01,0.01,-0.01
2025-07-14T18:52:32.752273,6,-0.02,0.0,-0.0
2025-07-14T18:52:32.752305,2,-0.05,0.01,-0.03
2025-07-14T18:52:32.752334,4,0.0,0.01,-0.02
2025-07-14T18:52:32.752362,6,-0.02,-0.01,-0.01
2025-07-14T18:52:32.752430,2,-0.06,0.0,-0.03
2025-07-14T18:52:32.753336,4,0.02,0.02,-0.01
2025-07-14T18:52:32.753393,6,-0.02,0.0,-0.01
2025-07-14T18:52:32.753423,2,-0.06,0.02,-0.04
2025-07-14T18:52:32.756646,4,0.02,0.01,-0.01
2025-07-14T18:52:32.756700,2,-0.06,0.01,-0.04
2025-07-14T18:52:32.756727,4,0.02,0.02,-0.01
2025-07-14T18:52:32.756744,6,-0.02,-0.02,-0.01
2025-07-14T18:52:32.759860,2,-0.06,0.0,-0.04
2025-07-14T18:52:32.759898,4,0.03,0.02,-0.02
2025-07-14T18:52:32.763128,6,-0.02,-0.01,-0.01
2025-07-14T18:52:32.763167,2,-0.06,0.0,-0.04
2025-07-14T18:52:33.376310,4,0.03,-0.01,-0.01
2025-07-14T18:52:33.376340,6,-0.04,0.01,0.0
2025-07-14T18:52:33.376353,4,0.04,0.0,-0.01
2025-07-14T18:52:33.377101,6,-0.04,0.01,0.0
2025-07-14T18:52:33.377117,2,-0.05,-0.01,-0.04
2025-07-14T18:52:33.377128,4,0.04,-0.0,-0.02
2025-07-14T18:52:33.380386,6,-0.05,0.01,-0.0
2025-07-14T18:52:33.380407,2,-0.05,0.0,-0.05
2025-07-14T18:52:33.380420,4,0.03,-0.01,-0.01
2025-07-14T18:52:33.383746,6,-0.04,0.01,-0.0
2025-07-14T18:52:33.383786,2,-0.04,0.0,-0.05
2025-07-14T18:52:33.383816,2,-0.04,-0.01,-0.06
2025-07-14T18:52:33.383846,6,-0.05,-0.0,-0.01
2025-07-14T18:52:33.386895,2,-0.04,-0.0,-0.05
2025-07-14T18:52:33.386911,4,0.04,0.0,-0.01
2025-07-14T18:52:33.390269,6,-0.06,0.0,-0.01
2025-07-14T18:52:33.390308,2,-0.04,-0.02,-0.06
2025-07-14T18:52:33.490752,4,0.03,-0.0,-0.01
2025-07-14T18:52:33.490810,6,-0.05,-0.0,-0.01
2025-07-14T18:52:33.490846,2,-0.03,-0.01,-0.05
2025-07-14T18:52:33.490890,4,0.05,0.01,-0.01
2025-07-14T18:52:33.490930,6,-0.05,0.0,-0.01
2025-07-14T18:52:33.490991,2,-0.03,-0.02,-0.05
2025-07-14T18:52:33.491025,4,0.06,0.01,-0.01
2025-07-14T18:52:33.491054,6,-0.04,0.02,-0.01
2025-07-14T18:52:33.491081,2,-0.03,-0.01,-0.05
2025-07-14T18:52:33.491109,4,0.04,-0.0,-0.01
2025-07-14T18:52:33.491139,6,-0.05,0.01,-0.01
2025-07-14T18:52:33.491166,2,-0.02,-0.01,-0.05
2025-07-14T18:52:33.491193,4,0.04,0.0,-0.01
2025-07-14T18:52:33.491220,6,-0.05,0.02,-0.01
2025-07-14T18:52:33.598290,2,-0.02,-0.01,-0.05
2025-07-14T18:52:33.598318,4,0.03,-0.0,-0.01
2025-07-14T18:52:33.679812,6,-0.04,0.0,-0.01
2025-07-14T18:52:33.679845,2,-0.02,-0.01,-0.06
2025-07-14T18:52:33.683088,4,0.04,-0.0,-0.01
2025-07-14T18:52:33.683127,6,-0.04,0.01,-0.01
2025-07-14T18:52:33.683156,2,-0.01,-0.01,-0.06
2025-07-14T18:52:33.686353,4,0.03,0.0,-0.01
2025-07-14T18:52:33.686421,6,-0.06,0.0,-0.0
2025-07-14T18:52:33.689483,2,-0.01,-0.01,-0.06
2025-07-14T18:52:34.912674,2,0.02,-0.05,-0.06
2025-07-14T18:52:34.915838,4,0.05,-0.01,-0.0
2025-07-14T18:52:34.915858,6,-0.04,0.02,-0.04
2025-07-14T18:52:34.915873,2,0.0,-0.05,-0.06
2025-07-14T18:52:34.919091,4,0.04,-0.02,-0.0
2025-07-14T18:52:34.919107,6,-0.04,0.02,-0.04
2025-07-14T18:52:34.919118,2,0.0,-0.04,-0.06
2025-07-14T18:52:34.922353,4,0.04,-0.04,-0.01
2025-07-14T18:52:34.922379,6,-0.06,0.02,-0.04
2025-07-14T18:52:34.922392,2,0.01,-0.04,-0.06
2025-07-14T18:52:34.925744,4,0.05,-0.05,-0.0
2025-07-14T18:52:34.925787,6,-0.04,0.02,-0.04
2025-07-14T18:52:34.925813,2,0.01,-0.05,-0.06
2025-07-14T18:52:34.928884,4,0.04,-0.04,0.0
2025-07-14T18:52:34.928901,6,-0.04,0.02,-0.05
2025-07-14T18:52:34.928913,2,0.01,-0.04,-0.06
2025-07-14T18:52:34.932237,4,0.03,-0.04,0.0
2025-07-14T18:52:35.661735,6,-0.04,0.02,-0.04
2025-07-14T18:52:35.661812,2,-0.0,-0.06,-0.07
2025-07-14T18:52:35.661870,4,0.05,-0.06,-0.01
2025-07-14T18:52:35.664074,6,-0.04,0.01,-0.04
2025-07-14T18:52:35.664094,2,-0.01,-0.05,-0.07
2025-07-14T18:52:35.664107,4,0.04,-0.05,-0.02
2025-07-14T18:52:35.667425,6,-0.04,0.01,-0.04
2025-07-14T18:52:35.667469,2,0.0,-0.05,-0.07
2025-07-14T18:52:35.667500,4,0.04,-0.06,-0.02
2025-07-14T18:52:35.670600,6,-0.04,0.01,-0.04
2025-07-14T18:52:35.670618,2,-0.01,-0.06,-0.07
2025-07-14T18:52:35.670630,4,0.02,-0.06,-0.01
2025-07-14T18:52:35.673878,6,-0.05,0.01,-0.04
2025-07-14T18:52:35.673915,2,-0.01,-0.05,-0.07
2025-07-14T18:52:35.673943,4,0.02,-0.05,-0.01
2025-07-14T18:52:36.838204,6,-0.04,0.0,-0.05
2025-07-14T18:52:36.838256,2,0.03,-0.09,-0.09
2025-07-14T18:52:36.838282,4,0.02,-0.07,0.01
2025-07-14T18:52:36.841421,6,-0.05,-0.02,-0.05
2025-07-14T18:52:36.841447,2,0.03,-0.09,-0.09
2025-07-14T18:52:36.841469,4,0.02,-0.07,0.01
2025-07-14T18:52:36.844670,6,-0.04,0.0,-0.05
2025-07-14T18:52:36.844696,2,0.04,-0.08,-0.09
2025-07-14T18:52:36.844716,4,0.02,-0.08,0.01
